Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000134986,NREP,1.1186893668957991,0.09392077568048436,0.5172786930917412,1.1335829404218412,0.03566175506808225,0.7635707210686966,0.24504021957944946,-2.131255880089013,0.00029410470870213496
ENSG00000129595,EPB41L4A,0.24223075930456187,-1.3760911630066386,0.00000000000000000000000024575845436764133,0.49785737248256534,0.9044783837795785,0.00000000045339117746456156,1.8594228426911166,2.7526075801234318,0.000000000000000000023119539579282706
ENSG00000134982,APC,0.8143815492031506,0.579994857026705,0.0000374926639670332,0.5514727818268416,-0.5517650862440312,0.00019022980665801242,0.47566630859540193,-0.6944172989142429,0.3338367497430794
ENSG00000153037,SRP19,1.4119274993514113,0.15185215734820257,0.247162766743992,1.2974929061314857,-0.11645491779872452,0.42850117659341325,1.023403270008289,-0.45009705180988374,0.5768072098950306
ENSG00000129625,REEP5,1.634840572654086,-0.3531059186236799,0.0023821539827994388,2.0726185383658797,0.33327034213476603,0.006369478983456807,2.2486043679055365,0.40139753921742305,0.3388495238783057
ENSG00000172795,DCP2,1.031000095606334,0.19571985984131368,0.15283084274644937,0.9129938276911045,-0.16989501182380493,0.24871132424589232,0.7783630504288395,-0.3790590315381589,0.6834029377877753
ENSG00000171444,MCC,1.4829037164594683,1.0552942576474893,0.000000000000009092573040429093,0.7368289112741967,-0.9937363294743784,0.0000000000031462077963293664,0.49008043915889893,-1.4830666780606023,0.00831843224307646
ENSG00000212122,TSSK1B,0.043844635644732524,-0.7613334833821876,0.00530019953167036,0.07199783540517099,0.7164419512127762,0.01105041572530817,0.08648478338098217,1.0656658537313168,0.38027343460564117
ENSG00000047188,YTHDC2,1.2265645347939775,-0.04328650312802518,0.7324836219127651,1.2898335619394463,0.07567151196561639,0.5427305330491903,1.023403270008289,-0.27087145150797604,0.8226624662704843
ENSG00000080709,KCNN2,0.024961054946258613,-1.5951606168009822,0.000010364597786596336,0.07965717959721046,1.6841159877738607,0.000006603501212638255,0.028828261126994055,0.4167402942781955,0.9016947097734641
ENSG00000152503,TRIM36,0.08421642886215949,-1.6754858671673134,0.0000000000000000000016535687800275335,0.24816275182207873,1.4698903137371842,0.00000000000000282096541713765,0.4612521780319049,2.1625808271230955,0.000003128455981008
ENSG00000164219,PGGT1B,0.682847642268953,-0.0033051500724430305,0.9477280805669984,0.6985321903139994,0.03781128048691018,0.7788824500529229,0.5477369614128871,-0.3054855012287423,0.8056329948169862
ENSG00000164221,CCDC112,0.24939349681087955,0.19185549925073975,0.29170460125617664,0.22824845692277612,-0.10976226492085273,0.5752196383675905,0.11531304450797622,-0.9491654976697692,0.2891971504365988
ENSG00000145780,FEM1C,0.9880236705684279,0.7427275859948138,0.0000000878010046024311,0.5989607158174863,-0.7101012493281137,0.0000010882184321789302,0.5044945697223959,-0.8774428101262625,0.1842510450641267
ENSG00000243414,TICAM2,0.3168968714916311,0.189906873220675,0.26435804112757577,0.2971825546511313,-0.07248425935127623,0.7127329288635025,0.08648478338098217,-1.6611653633011765,0.03443498628022858
ENSG00000134970,TMED7,2.9608152219296846,0.4093496203347744,0.0008703456719012741,2.256442798974827,-0.3859288759240811,0.002861339624172749,1.9891500177625898,-0.5406570694557623,0.4433726064757768
ENSG00000129596,CDO1,0.03820126670036101,-1.1110669439294165,0.000020440788785820143,0.08884839262765781,1.2457482009679461,0.0000032846847111974046,0.014414130563497028,-0.6524217302292001,0.6475121344916521
ENSG00000145782,ATG12,0.6767701680211683,0.4553056749411576,0.0014690068223703644,0.5085804543514206,-0.39970960715498616,0.008192026895523835,0.3459391335239287,-0.8848473523249916,0.20970224151036232
ENSG00000172901,LVRN,0.04840274133057105,-0.97295143312446,0.00006587584578476207,0.09803960565810517,1.0283163814362157,0.0000453337231068409,0.05765652225398811,0.3760983097808501,0.9308543686294376
ENSG00000268223,ARL14EPL,0.026263370856498193,-1.599025555968581,0.000000009851266908202224,0.08578465495084203,1.7292140913980054,0.0000000009840389446985444,0.014414130563497028,-0.25163821463059755,0.8977535067029379
ENSG00000145781,COMMD10,0.26046318204791596,-0.1899543122877212,0.23714959658815957,0.30331003000476287,0.22634975040242322,0.17065846961723274,0.23062608901595244,-0.13862218957861439,0.9703965467675145
ENSG00000092421,SEMA6A,0.43736109318879224,0.598138893015139,0.0025794912154686192,0.3063737676815787,-0.4931033009428787,0.0186726702685621,0.11531304450797622,-1.7197219482710762,0.07761702536332246
ENSG00000169570,DTWD2,0.1562779092287496,-0.12044095450231218,0.5279255548944581,0.17003744106327617,0.13049366634606452,0.514504037362165,0.1585554361984673,0.10861799891586355,0.9291898385073455
ENSG00000172869,DMXL1,0.8656059750059074,0.14028239017858649,0.3265675024650878,0.8072948778409598,-0.09297338821764226,0.558525719988615,0.5765652225398811,-0.5591825498191174,0.4797398317037731
ENSG00000145779,TNFAIP8,1.3079592791839514,0.5931208182485144,0.000007795568074084439,0.876228975569315,-0.5688629628586475,0.0000453523718339404,0.7783630504288395,-0.682576772553475,0.32153310289274983
