Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000166349,RAG1,0.17095112365550594,0.32902561928228646,0.09570210838271727,0.13504280778388764,-0.32902561928228646,0.09570210838271727
ENSG00000175097,RAG2,0.020635777315467677,-2.2284541988780067,0.00000000000000011547499033045575,0.09645914841706259,2.2284541988780067,0.00000000000000011547499033045575
ENSG00000166352,C11orf74,0.16291403143790273,-0.46855248719829223,0.0064599810639488706,0.22461201702830288,0.46855248719829223,0.0064599810639488706
ENSG00000148948,LRRC4C,0.018680808938212844,-2.151463421808638,0.000000000016435974447581655,0.08267927007176794,2.151463421808638,0.000000000016435974447581655
ENSG00000166181,API5,2.245607009340051,0.16930764866116843,0.1783185762252112,1.998082360067725,-0.16930764866116843,0.1783185762252112
ENSG00000052841,TTC17,0.9003715470801423,-0.3757859225381043,0.0030344306076142418,1.1685336836809868,0.3757859225381043,0.0030344306076142418
ENSG00000149084,HSD17B12,0.363406899460815,0.310704612230025,0.05365755076765717,0.2921334209202467,-0.310704612230025,0.05365755076765717
ENSG00000166199,ALKBH3,0.3562386820775473,-0.16321914659570225,0.2644502599377285,0.3982384841790156,0.16321914659570225,0.2644502599377285
ENSG00000187479,C11orf96,0.31713931453245064,-3.0266784687110375,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013414094302509525,2.5878611532463363,3.0266784687110375,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013414094302497322
ENSG00000205126,ACCSL,0.02345962052705799,-1.7534662504451268,0.000000007018520710971457,0.07854530656817954,1.7534662504451268,0.000000007018520710971457
ENSG00000110455,ACCS,0.1544425018031318,-1.6391472609604116,0.000000000000000000000000000000826854357706516,0.4809177542507835,1.6391472609604116,0.000000000000000000000000000000826854357706516
ENSG00000151348,EXT2,0.7583105116662913,0.5062554213478317,0.0028583692405759384,0.5332812919629032,-0.5062554213478317,0.0028583692405759384
ENSG00000052850,ALX4,0.024328495361393473,-1.865858430707747,0.000000000008332338146835882,0.08819122140988579,1.865858430707747,0.000000000008332338146835882
ENSG00000085117,CD82,0.8334681848363104,-0.6030206348434755,0.00000045311980737482924,1.266370819932579,0.6030206348434755,0.00000045311980737482924
ENSG00000157570,TSPAN18,0.405330110217502,0.11007949121186922,0.5120352824174423,0.37481269099201464,-0.11007949121186922,0.5120352824174423
ENSG00000175274,TP53I11,0.30193400493157974,-1.2932252381088656,0.000000000000000000000003378660570653898,0.739979467142323,1.2932252381088656,0.000000000000000000000003378660570653898
ENSG00000019485,PRDM11,0.19636571255981874,-0.19944760274199647,0.2477331239452024,0.22461201702830288,0.19944760274199647,0.2477331239452024
ENSG00000019505,SYT13,0.08384642151337393,0.04987712668808886,0.8720862936467166,0.07992329440270901,-0.04987712668808886,0.8720862936467166
